bill_id,Date,Ref. No.,Party's Name,Amount,tax,tax_amount,base_amount,tds,amount_after_tds,payment_id,Due on,Overdue
129,23-Mar-2018,020817/D/1684,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,67.97,,,,,,,23-Mar-2018,52
130,23-Mar-2018,020817/D/1690,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,543.74,,,,,,,23-Mar-2018,52
131,23-Mar-2018,020917/D/1685,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,67.97,,,,,,,23-Mar-2018,52
132,23-Mar-2018,020917/D/1691,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,590.94,,,,,,,23-Mar-2018,52
133,23-Mar-2018,021017/D/1686,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,67.97,,,,,,,23-Mar-2018,52
134,23-Mar-2018,021017/D/1692,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,661.74,,,,,,,23-Mar-2018,52
135,23-Mar-2018,021117/D/1693,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,590.94,,,,,,,23-Mar-2018,52
136,23-Mar-2018,020817/D/1710,BUSSAN AUTO FINANCE INDIA PVT LTD OPS SPDC DEL,4494.03,,,,,,,23-Mar-2018,52
137,23-Mar-2018,020717/D/1709,BUSSAN AUTO FINANCE INDIA PVT LTD OPS SPDC DEL,4494.03,,,,,,,23-Mar-2018,52
138,23-Mar-2018,021117/D/1713,BUSSAN AUTO FINANCE INDIA PVT LTD OPS SPDC DEL,4494.03,,,,,,,23-Mar-2018,52
139,23-Mar-2018,020917/D/1711,BUSSAN AUTO FINANCE INDIA PVT LTD OPS SPDC DEL,4494.03,,,,,,,23-Mar-2018,52
140,23-Mar-2018,021017/D/1712,BUSSAN AUTO FINANCE INDIA PVT LTD OPS SPDC DEL,4494.03,,,,,,,23-Mar-2018,52
141,23-Mar-2018,020717/D/1704,BUSSAN AUTO FINANCE INDIA PVT LTD SALES-MARKET DEL,509.76,,,,,,,23-Mar-2018,52
142,23-Mar-2018,020817/D/1705,BUSSAN AUTO FINANCE INDIA PVT LTD SALES-MARKET DEL,509.76,,,,,,,23-Mar-2018,52
143,23-Mar-2018,021117/D/1708,BUSSAN AUTO FINANCE INDIA PVT LTD SALES-MARKET DEL,509.76,,,,,,,23-Mar-2018,52
144,23-Mar-2018,020917/D/1706,BUSSAN AUTO FINANCE INDIA PVT LTD SALES-MARKET DEL,509.76,,,,,,,23-Mar-2018,52
145,23-Mar-2018,021017/D/1707,BUSSAN AUTO FINANCE INDIA PVT LTD SALES-MARKET DEL,509.76,,,,,,,23-Mar-2018,52
146,23-Mar-2018,020817/D/1657,The Bussan Auto Finance India Pvt.Ltd-DEL,26125.2,,,,,,,23-Mar-2018,52
147,23-Mar-2018,020917/D/1658,The Bussan Auto Finance India Pvt.Ltd-DEL,26734.08,,,,,,,23-Mar-2018,52
148,23-Mar-2018,021017/D/1659,The Bussan Auto Finance India Pvt.Ltd-DEL,27357.12,,,,,,,23-Mar-2018,52
149,23-Mar-2018,021117/D/1644,The Bussan Auto Finance India Pvt.Ltd-DEL,281931.5,,,,,,,23-Mar-2018,52
150,23-Mar-2018,021117/D/1660,The Bussan Auto Finance India Pvt.Ltd-DEL,27923.52,,,,,,,23-Mar-2018,52
151,27-Mar-2018,300917/D/1655,BUSSAN AUTO FINANCE INDIA PVT LTD ACCOUNTS DEL,4893.7,,,,,,,27-Mar-2018,48
152,27-Mar-2018,310817/D/1654,BUSSAN AUTO FINANCE INDIA PVT LTD ACCOUNTS DEL,9968.64,,,,,,,27-Mar-2018,48
153,27-Mar-2018,300917/D/1670,BUSSAN AUTO FINANCE INDIA PVT LTD CREDIT TW DEL,722.16,,,,,,,27-Mar-2018,48
